date,sales,day_of_week,day_of_year,month,quarter,year,is_weekend,is_holiday_season,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,is_month_start,is_month_end,is_quarter_end,week_of_year
2021-02-16,1086.92,1,47,2,1,2021,0,0,1042.97,1151.36,582.77,1008.9771428571429,964.2823333333333,218.64534797355324,0,0,0,7
2021-02-17,1319.73,2,48,2,1,2021,0,0,1086.92,1237.28,1084.73,1020.7557142857144,972.1156666666667,234.63046462165013,0,0,0,7
2021-02-18,1217.9,3,49,2,1,2021,0,0,1319.73,1156.97,904.38,1029.46,982.5663333333333,241.55396746896955,0,0,0,7
2021-02-19,907.16,4,50,2,1,2021,0,0,1217.9,1118.74,831.81,999.2342857142858,985.078,241.75784377879333,0,0,0,7
2021-02-20,925.54,5,51,2,1,2021,1,0,907.16,795.81,1266.66,1017.7671428571429,973.7073333333333,228.15428637322637,0,0,0,7
2021-02-21,824.54,6,52,2,1,2021,1,0,925.54,624.15,1016.18,1046.3942857142858,967.3193333333332,177.47861409731803,0,0,0,7
2021-02-22,1086.19,0,53,2,1,2021,0,0,824.54,1042.97,763.5,1052.5685714285714,978.0756666666665,178.09036624034164,0,0,0,8
2021-02-23,1284.97,1,54,2,1,2021,0,0,1086.19,1086.92,543.06,1080.8614285714286,1002.806,198.96568979169666,0,0,0,8
2021-02-24,1353.4,2,55,2,1,2021,0,0,1284.97,1319.73,978.6,1085.6714285714286,1015.2993333333333,205.98592188371916,0,0,0,8
2021-02-25,1344.03,3,56,2,1,2021,0,0,1353.4,1217.9,1080.47,1103.69,1024.0846666666666,224.19235565320517,0,0,0,8
2021-02-26,1084.09,4,57,2,1,2021,0,0,1344.03,907.16,894.82,1128.9657142857143,1030.3936666666666,207.71027938430163,0,0,0,8
2021-02-27,869.28,5,58,2,1,2021,1,0,1084.09,925.54,1127.55,1120.9285714285713,1021.7846666666667,217.73984487828344,0,0,0,8
2021-02-28,971.09,6,59,2,1,2021,1,0,869.28,824.54,984.91,1141.8642857142856,1021.324,189.737153087909,0,1,0,8
2021-03-01,1373.52,0,60,3,1,2021,0,0,971.09,1086.19,735.13,1182.9114285714288,1042.6036666666666,206.063012970027,1,0,0,9
2021-03-02,1161.14,1,61,3,1,2021,0,0,1373.52,1284.97,692.59,1165.2214285714285,1058.222,201.09669410746713,0,0,0,9
2021-03-03,1211.04,2,62,3,1,2021,0,0,1161.14,1353.4,1364.72,1144.8842857142856,1053.0993333333333,185.48686088751575,0,0,0,9
2021-03-04,1078.85,3,63,3,1,2021,0,0,1211.04,1344.03,1088.97,1107.0014285714285,1052.762,163.8535874318461,0,0,0,9
2021-03-05,1071.33,4,64,3,1,2021,0,0,1078.85,1084.09,936.52,1105.1785714285713,1057.2556666666667,164.221520253241,0,0,0,9
2021-03-06,1078.63,5,65,3,1,2021,1,0,1071.33,869.28,1222.82,1135.0857142857144,1052.4493333333332,129.49123301819046,0,0,0,9
2021-03-07,1166.23,6,66,3,1,2021,1,0,1078.63,971.09,920.65,1162.962857142857,1060.6353333333334,107.42695436346196,0,0,0,9
2021-03-08,1258.06,0,67,3,1,2021,0,0,1166.23,1373.52,839.51,1146.4685714285713,1074.587,73.08445923007318,0,0,0,10
2021-03-09,1425.51,1,68,3,1,2021,0,0,1258.06,1161.14,518.71,1184.2357142857143,1104.8136666666664,128.91366463091185,0,0,0,10
2021-03-10,1335.37,2,69,3,1,2021,0,0,1425.51,1211.04,917.98,1201.9971428571428,1118.7266666666667,141.20152368326606,0,0,0,10
2021-03-11,1190.53,3,70,3,1,2021,0,0,1335.37,1078.85,1151.36,1217.9514285714286,1120.0323333333333,130.90182306198838,0,0,0,10
2021-03-12,1347.72,4,71,3,1,2021,0,0,1190.53,1071.33,1237.28,1257.435714285714,1123.7136666666668,120.58240665718094,0,0,0,10
2021-03-13,1230.45,5,72,3,1,2021,1,0,1347.72,1078.63,1156.97,1279.1242857142856,1126.163,93.72360710392583,0,0,0,10
2021-03-14,1000.64,6,73,3,1,2021,1,0,1230.45,1166.23,1118.74,1255.4685714285715,1122.2263333333333,137.59597564712925,0,0,0,10
2021-03-15,1547.01,0,74,3,1,2021,0,0,1000.64,1258.06,795.81,1296.7471428571428,1147.2663333333335,176.37940211508766,0,0,0,11
2021-03-16,925.67,1,75,3,1,2021,0,0,1547.01,1425.51,624.15,1225.3414285714284,1157.317,212.9495641717825,0,0,0,11
2021-03-17,1448.27,2,76,3,1,2021,0,0,925.67,1335.37,1042.97,1241.47,1170.827,226.51528535619778,0,0,0,11
2021-03-18,1344.41,3,77,3,1,2021,0,0,1448.27,1190.53,1086.92,1263.452857142857,1179.41,228.20826925670886,0,0,0,11
2021-03-19,1292.89,4,78,3,1,2021,0,0,1344.41,1347.72,1319.73,1255.6200000000001,1178.5153333333333,225.76174882679533,0,0,0,11
2021-03-20,1057.92,5,79,3,1,2021,1,0,1292.89,1230.45,1217.9,1230.972857142857,1173.1826666666666,238.05097246278143,0,0,0,11
2021-03-21,752.45,6,80,3,1,2021,1,0,1057.92,1000.64,907.16,1195.517142857143,1168.025666666667,290.72918066557406,0,0,0,11
2021-03-22,1324.08,0,81,3,1,2021,0,0,752.45,1547.01,925.54,1163.67,1181.3103333333333,255.93691768350496,0,0,0,12
2021-03-23,1417.06,1,82,3,1,2021,0,0,1324.08,925.67,824.54,1233.8685714285714,1201.0610000000001,247.01209521185822,0,0,0,12
2021-03-24,1591.65,2,83,3,1,2021,0,0,1417.06,1448.27,1086.19,1254.3514285714284,1217.9096666666667,272.394504682,0,0,0,12
2021-03-25,1298.72,3,84,3,1,2021,0,0,1591.65,1344.41,1284.97,1247.8242857142857,1218.3679999999997,270.41708395594725,0,0,0,12
2021-03-26,1261.69,4,85,3,1,2021,0,0,1298.72,1292.89,1353.4,1243.3671428571429,1215.3110000000001,269.80692860601124,0,0,0,12
2021-03-27,1014.21,5,86,3,1,2021,1,0,1261.69,1057.92,1344.03,1237.1228571428571,1204.317,275.26474769539465,0,0,0,12
2021-03-28,1233.3,6,87,3,1,2021,1,0,1014.21,752.45,1084.09,1305.8157142857142,1209.2906666666668,176.3991512505218,0,0,0,12
2021-03-29,1451.82,0,88,3,1,2021,0,0,1233.3,1324.08,869.28,1324.064285714286,1228.7086666666667,185.00115232588274,0,0,0,13
2021-03-30,1329.58,1,89,3,1,2021,0,0,1451.82,1417.06,971.09,1311.567142857143,1240.6583333333333,180.57386685363946,0,0,0,13
2021-03-31,1492.56,2,90,3,1,2021,0,0,1329.58,1591.65,1373.52,1297.4114285714284,1244.6263333333334,157.34825816518833,0,1,1,13
2021-04-01,1436.67,3,91,4,2,2021,0,0,1492.56,1298.72,1161.14,1317.1185714285714,1253.8106666666667,165.9435059921059,1,0,0,13
2021-04-02,1573.94,4,92,4,2,2021,0,0,1436.67,1261.69,1211.04,1361.7257142857143,1265.9073333333333,188.93553678941524,0,0,0,13
2021-04-03,1029.87,5,93,4,2,2021,1,0,1573.94,1014.21,1078.85,1363.9628571428568,1264.274666666667,184.16742027426002,0,0,0,13
2021-04-04,1092.56,6,94,4,2,2021,1,0,1029.87,1233.3,1071.33,1343.857142857143,1264.9823333333334,207.067976979725,0,0,0,13
2021-04-05,1389.42,0,95,4,2,2021,0,0,1092.56,1451.82,1078.63,1334.9428571428573,1275.342,202.9477053097076,0,0,0,14
2021-04-06,1235.23,1,96,4,2,2021,0,0,1389.42,1329.58,1166.23,1321.4642857142858,1277.642,206.46582322966793,0,0,0,14
2021-04-07,1505.69,2,97,4,2,2021,0,0,1235.23,1492.56,1258.06,1323.3400000000001,1285.8963333333334,208.33049032726757,0,0,0,14
2021-04-08,1506.94,3,98,4,2,2021,0,0,1505.69,1436.67,1425.51,1333.3785714285716,1288.6106666666667,216.24423687338378,0,0,0,14
2021-04-09,1475.04,4,99,4,2,2021,0,0,1506.94,1573.94,1335.37,1319.25,1293.2663333333333,200.57013054457136,0,0,0,14
2021-04-10,1145.57,5,100,4,2,2021,1,0,1475.04,1029.87,1190.53,1335.7785714285715,1291.7676666666666,176.0122466788948,0,0,0,14
2021-04-11,974.92,6,101,4,2,2021,1,0,1145.57,1092.56,1347.72,1318.972857142857,1279.341,206.14253836559124,0,0,0,14
2021-04-12,1430.59,0,102,4,2,2021,0,0,974.92,1389.42,1230.45,1324.8542857142857,1286.0123333333333,209.05418953444698,0,0,0,15
2021-04-13,1448.71,1,103,4,2,2021,0,0,1430.59,1235.23,1000.64,1355.3514285714284,1300.948,209.37172695380525,0,0,0,15
2021-04-14,1386.2,2,104,4,2,2021,0,0,1448.71,1505.69,1547.01,1338.2814285714285,1295.5876666666666,199.72037714669668,0,0,0,15
2021-04-15,1488.75,3,105,4,2,2021,0,0,1386.2,1506.94,925.67,1335.6828571428573,1314.357,197.26343787891673,0,0,0,15
2021-04-16,1579.93,4,106,4,2,2021,0,0,1488.75,1475.04,1448.27,1350.6671428571428,1318.7456666666667,212.97172556580352,0,0,0,15
2021-04-17,1508.61,5,107,4,2,2021,1,0,1579.93,1145.57,1344.41,1402.5300000000002,1324.219,198.40806090815235,0,0,0,15
2021-04-18,1258.2,6,108,4,2,2021,1,0,1508.61,974.92,1292.89,1442.9985714285715,1323.0626666666665,102.2345764127063,0,0,0,15
2021-04-19,1576.96,0,109,4,2,2021,0,0,1258.2,1430.59,1057.92,1463.9085714285716,1340.3640000000003,113.60937951721024,0,0,0,16
2021-04-20,1533.44,1,110,4,2,2021,0,0,1576.96,1448.71,752.45,1476.0128571428572,1366.397,116.20425518804952,0,0,0,16
2021-04-21,1263.05,2,111,4,2,2021,0,0,1533.44,1386.2,1324.08,1458.42,1364.3626666666669,139.12874277684844,0,0,0,16
2021-04-22,1553.11,3,112,4,2,2021,0,0,1263.05,1488.75,1417.06,1467.6142857142856,1368.8976666666667,143.52432161566864,0,0,0,16
2021-04-23,1572.32,4,113,4,2,2021,0,0,1553.11,1579.93,1591.65,1466.527142857143,1368.2533333333333,142.55734468560124,0,0,0,16
2021-04-24,1638.93,5,114,4,2,2021,1,0,1572.32,1508.61,1298.72,1485.1442857142854,1379.5936666666669,156.77009247697058,0,0,0,16
2021-04-25,1246.72,6,115,4,2,2021,1,0,1638.93,1258.2,1261.69,1483.5042857142857,1379.0946666666669,159.5748389583121,0,0,0,16
2021-04-26,1626.89,0,116,4,2,2021,0,0,1246.72,1576.96,1014.21,1490.6371428571426,1399.5173333333335,165.455998351453,0,0,0,17
2021-04-27,1582.51,1,117,4,2,2021,0,0,1626.89,1533.44,1233.3,1497.6471428571429,1411.1576666666665,168.5816720677034,0,0,0,17
2021-04-28,1418.43,2,118,4,2,2021,0,0,1582.51,1263.05,1451.82,1519.8442857142857,1410.0446666666664,140.4215232620624,0,0,0,17
2021-04-29,1771.13,3,119,4,2,2021,0,0,1418.43,1553.11,1329.58,1550.99,1424.763,170.07681548837434,0,0,0,17
2021-04-30,1718.44,4,120,4,2,2021,0,0,1771.13,1572.32,1492.56,1571.8642857142856,1432.2923333333333,181.70081726629073,0,1,0,17
2021-05-01,1430.2,5,121,5,2,2021,1,0,1718.44,1638.93,1436.67,1542.0457142857142,1432.0766666666668,185.93818478705393,1,0,0,17
2021-05-02,1180.99,6,122,5,2,2021,1,0,1430.2,1246.72,1573.94,1532.6557142857143,1418.9783333333332,204.10977355801614,0,0,0,17
2021-05-03,1833.62,0,123,5,2,2021,0,0,1180.99,1626.89,1029.87,1562.1885714285713,1445.77,232.93735605870282,0,0,0,18
2021-05-04,1418.68,1,124,5,2,2021,0,0,1833.62,1582.51,1092.56,1538.7842857142857,1456.6406666666667,238.7140187795945,0,0,0,18
2021-05-05,1722.7,2,125,5,2,2021,0,0,1418.68,1418.43,1389.42,1582.2514285714285,1467.75,240.83894510845263,0,0,0,18
2021-05-06,1968.9,3,126,5,2,2021,0,0,1722.7,1771.13,1235.23,1610.5042857142857,1492.2056666666665,275.7579918368725,0,0,0,18
2021-05-07,1497.37,4,127,5,2,2021,0,0,1968.9,1718.44,1505.69,1578.9228571428573,1491.9283333333335,273.9897693171701,0,0,0,18
2021-05-08,1266.57,5,128,5,2,2021,1,0,1497.37,1430.2,1506.94,1555.547142857143,1483.9160000000002,294.96983267865903,0,0,0,18
2021-05-09,1371.97,6,129,5,2,2021,1,0,1266.57,1180.99,1475.04,1582.83,1480.4803333333332,261.48302914975807,0,0,0,18
2021-05-10,1586.95,0,130,5,2,2021,0,0,1371.97,1833.62,1145.57,1547.5914285714284,1495.193,237.5813190908584,0,0,0,19
2021-05-11,1435.28,1,131,5,2,2021,0,0,1586.95,1418.68,974.92,1549.9628571428573,1510.5383333333334,236.15871567756307,0,0,0,19
2021-05-12,1683.5,2,132,5,2,2021,0,0,1435.28,1722.7,1430.59,1544.3628571428574,1518.9686666666666,231.80457356102661,0,0,0,19
2021-05-13,1519.16,3,133,5,2,2021,0,0,1683.5,1968.9,1448.71,1480.1142857142859,1521.317,137.7851030720348,0,0,0,19
2021-05-14,1754.78,4,134,5,2,2021,0,0,1519.16,1497.37,1386.2,1516.8871428571426,1533.603,173.00587732928622,0,0,0,19
2021-05-15,1250.99,5,135,5,2,2021,1,0,1754.78,1266.57,1488.75,1514.6614285714284,1525.6776666666667,176.82106939206145,0,0,0,19
2021-05-16,1626.5,6,136,5,2,2021,1,0,1250.99,1371.97,1579.93,1551.0228571428572,1527.23,168.5655615988708,0,0,0,19
2021-05-17,1581.57,0,137,5,2,2021,0,0,1626.5,1586.95,1508.61,1550.2542857142855,1529.662,168.38662099041974,0,0,0,20
2021-05-18,1655.73,1,138,5,2,2021,0,0,1581.57,1435.28,1258.2,1581.747142857143,1542.9130000000002,163.85347333459055,0,0,0,20
2021-05-19,1830.99,2,139,5,2,2021,0,0,1655.73,1683.5,1576.96,1602.8171428571427,1551.3806666666667,186.97081231342693,0,0,0,20
2021-05-20,1529.19,3,140,5,2,2021,0,0,1830.99,1519.16,1533.44,1604.25,1551.2390000000003,186.2599326210548,0,0,0,20
2021-05-21,1752.72,4,141,5,2,2021,0,0,1529.19,1754.78,1263.05,1603.9557142857143,1567.5613333333333,185.98388315990707,0,0,0,20
2021-05-22,1619.4,5,142,5,2,2021,1,0,1752.72,1250.99,1553.11,1656.5857142857144,1569.771,103.12156335399175,0,0,0,20
2021-05-23,1186.86,6,143,5,2,2021,1,0,1619.4,1626.5,1572.32,1593.7800000000002,1556.9223333333332,206.53068101374166,0,0,0,20
2021-05-24,1760.26,0,144,5,2,2021,0,0,1186.86,1581.57,1638.93,1619.3071428571427,1560.9666666666667,215.61330909093428,0,0,0,21
2021-05-25,1776.06,1,145,5,2,2021,0,0,1760.26,1655.73,1246.72,1636.4971428571428,1578.6113333333333,223.64814454214186,0,0,0,21
2021-05-26,1858.79,2,146,5,2,2021,0,0,1776.06,1830.99,1626.89,1640.4685714285713,1586.3413333333333,227.88417836176993,0,0,0,21
2021-05-27,1560.34,3,147,5,2,2021,0,0,1858.79,1529.19,1582.51,1644.918571428571,1585.6023333333333,225.6421364630706,0,0,0,21
2021-05-28,1552.12,4,148,5,2,2021,0,0,1560.34,1752.72,1418.43,1616.2614285714285,1590.0586666666668,222.38406960545902,0,0,0,21
2021-05-29,1532.7,5,149,5,2,2021,1,0,1552.12,1619.4,1771.13,1603.8757142857144,1582.111,224.58363949444615,0,0,0,21
2021-05-30,1503.11,6,150,5,2,2021,1,0,1532.7,1186.86,1718.44,1649.0542857142857,1574.9333333333334,144.10110268571168,0,0,0,21
2021-05-31,1800.21,0,151,5,2,2021,0,0,1503.11,1760.26,1430.2,1654.7614285714285,1587.267,149.9133669188719,0,1,0,22
2021-06-01,1818.6,1,152,6,2,2021,0,0,1800.21,1776.06,1180.99,1660.8385714285712,1608.5206666666668,156.373121030925,1,0,0,22
2021-06-02,1668.55,2,153,6,2,2021,0,0,1818.6,1858.79,1833.62,1633.6614285714284,1603.0183333333332,130.65210566342066,0,0,0,22
2021-06-03,1809.23,3,154,6,2,2021,0,0,1668.55,1560.34,1418.68,1669.217142857143,1616.0366666666666,140.8419125253895,0,0,0,22
2021-06-04,1822.12,4,155,6,2,2021,0,0,1809.23,1552.12,1722.7,1707.7885714285715,1619.3506666666667,140.3993845462021,0,0,0,22
2021-06-05,1374.69,5,156,6,2,2021,1,0,1822.12,1532.7,1968.9,1685.215714285714,1599.5436666666667,180.27933712779742,0,0,0,22
2021-06-06,1765.32,6,157,6,2,2021,1,0,1374.69,1503.11,1497.37,1722.6742857142856,1608.475333333333,162.49924603488077,0,0,0,22
2021-06-07,1860.05,0,158,6,2,2021,0,0,1765.32,1800.21,1266.57,1731.222857142857,1628.258,168.7131604938082,0,0,0,23
2021-06-08,1613.73,1,159,6,2,2021,0,0,1860.05,1818.6,1371.97,1701.9557142857143,1636.3166666666666,168.79900768439973,0,0,0,23
2021-06-09,1894.27,2,160,6,2,2021,0,0,1613.73,1668.55,1586.95,1734.2014285714286,1646.5606666666667,182.3682035908462,0,0,0,23
2021-06-10,1652.86,3,161,6,2,2021,0,0,1894.27,1809.23,1435.28,1711.862857142857,1653.8133333333333,181.2194935903497,0,0,0,23
2021-06-11,1920.33,4,162,6,2,2021,0,0,1652.86,1822.12,1683.5,1725.8928571428569,1661.7076666666665,194.4938109310323,0,0,0,23
2021-06-12,1679.17,5,163,6,2,2021,1,0,1920.33,1374.69,1519.16,1769.3899999999999,1667.0413333333333,124.20589317741732,0,0,0,23
2021-06-13,1385.3,6,164,6,2,2021,1,0,1679.17,1765.32,1754.78,1715.1014285714286,1654.725333333333,191.24175088341016,0,0,0,23
2021-06-14,1955.86,0,165,6,2,2021,0,0,1385.3,1860.05,1250.99,1728.7885714285712,1678.221,206.18910409529158,0,0,0,24
2021-06-15,1876.13,1,166,6,2,2021,0,0,1955.86,1613.73,1626.5,1766.2742857142857,1686.5420000000001,205.6365929544272,0,0,0,24
2021-06-16,1940.3,2,167,6,2,2021,0,0,1876.13,1894.27,1581.57,1772.85,1698.4996666666666,211.0757432771469,0,0,0,24
2021-06-17,2104.2,3,168,6,2,2021,0,0,1940.3,1652.86,1655.73,1837.327142857143,1713.4486666666667,235.8007369026009,0,0,0,24
2021-06-18,1785.47,4,169,6,2,2021,0,0,2104.2,1920.33,1830.99,1818.0614285714287,1711.9313333333332,233.385746453418,0,0,0,24
2021-06-19,1411.74,5,170,6,2,2021,1,0,1785.47,1679.17,1529.19,1779.857142857143,1708.0163333333333,277.60966065768713,0,0,0,24
2021-06-20,1393.8,6,171,6,2,2021,1,0,1411.74,1385.3,1752.72,1781.0714285714287,1696.0523333333333,275.60757103948674,0,0,0,24
2021-06-21,1707.2,0,172,6,2,2021,0,0,1393.8,1955.86,1619.4,1745.5485714285714,1698.979,265.150909510576,0,0,0,25
2021-06-22,1820.26,1,173,6,2,2021,0,0,1707.2,1876.13,1186.86,1737.5671428571427,1720.0923333333333,261.3791609083303,0,0,0,25
2021-06-23,1885.17,2,174,6,2,2021,0,0,1820.26,1940.3,1760.26,1729.6914285714286,1724.256,255.0052935678375,0,0,0,25
2021-06-24,1877.58,3,175,6,2,2021,0,0,1885.17,2104.2,1776.06,1697.3171428571427,1727.6399999999999,209.9380453621404,0,0,0,25
2021-06-25,1962.15,4,176,6,2,2021,0,0,1877.58,1785.47,1858.79,1722.5571428571427,1731.0853333333332,231.7865433766079,0,0,0,25
2021-06-26,1541.92,5,177,6,2,2021,1,0,1962.15,1411.74,1560.34,1741.1542857142856,1730.4713333333334,206.53955035756402,0,0,0,25
2021-06-27,1759.82,6,178,6,2,2021,1,0,1541.92,1393.8,1552.12,1793.4428571428568,1737.3946666666666,139.34744426723273,0,0,0,25
2021-06-28,1803.82,0,179,6,2,2021,0,0,1759.82,1707.2,1532.7,1807.2457142857145,1746.4320000000002,134.06620502039823,0,0,0,26
2021-06-29,2253.18,1,180,6,2,2021,0,0,1803.82,1820.26,1503.11,1869.0914285714284,1771.4343333333334,215.93064198399242,0,0,0,26
2021-06-30,1940.55,2,181,6,2,2021,0,0,2253.18,1885.17,1800.21,1877.0028571428572,1776.1123333333333,217.62579693243228,0,1,1,26
2021-07-01,1719.59,3,182,7,3,2021,0,0,1940.55,1877.58,1818.6,1854.4328571428573,1772.8120000000001,225.60236595348368,1,0,0,26
2021-07-02,1688.9,4,183,7,3,2021,0,0,1719.59,1962.15,1668.55,1815.3971428571429,1773.4903333333334,227.48999983254106,0,0,0,26
2021-07-03,1623.18,5,184,7,3,2021,1,0,1688.9,1541.92,1809.23,1827.0057142857145,1767.2886666666666,212.80843105612956,0,0,0,26
2021-07-04,1518.49,6,185,7,3,2021,1,0,1623.18,1759.82,1822.12,1792.5300000000002,1757.1676666666667,242.92405246633493,0,0,0,26
2021-07-05,1960.21,0,186,7,3,2021,0,0,1518.49,1803.82,1374.69,1814.8714285714284,1776.6850000000002,251.1864227639551,0,0,0,27
2021-07-06,1925.11,1,187,7,3,2021,0,0,1960.21,2253.18,1765.32,1768.0042857142855,1782.0113333333334,174.75227665251768,0,0,0,27
2021-07-07,1844.13,2,188,7,3,2021,0,0,1925.11,1940.55,1860.05,1754.23,1781.4806666666666,162.23703512659074,0,0,0,27
2021-07-08,1728.87,3,189,7,3,2021,0,0,1844.13,1719.59,1613.73,1755.5557142857142,1785.3186666666668,161.94445074954373,0,0,0,27
2021-07-09,1629.42,4,190,7,3,2021,0,0,1728.87,1688.9,1894.27,1747.0585714285714,1776.4903333333334,167.49022602613465,0,0,0,27
2021-07-10,1490.33,5,191,7,3,2021,1,0,1629.42,1623.18,1652.86,1728.08,1771.0726666666667,189.89480008678476,0,0,0,27
2021-07-11,1686.34,6,192,7,3,2021,1,0,1490.33,1518.49,1920.33,1752.0585714285714,1763.2730000000001,168.39916215434593,0,0,0,27
2021-07-12,1890.48,0,193,7,3,2021,0,0,1686.34,1960.21,1679.17,1742.097142857143,1770.3166666666666,155.61090961264944,0,0,0,28
2021-07-13,1671.91,1,194,7,3,2021,0,0,1890.48,1925.11,1385.3,1705.9257142857143,1779.8703333333333,133.89203024043178,0,0,0,28
2021-07-14,1885.06,2,195,7,3,2021,0,0,1671.91,1844.13,1955.86,1711.7728571428572,1777.5103333333334,141.60496621638234,0,0,0,28
2021-07-15,1917.1,3,196,7,3,2021,0,0,1885.06,1728.87,1876.13,1738.662857142857,1778.876,161.82151553633446,0,0,0,28
2021-07-16,1726.86,4,197,7,3,2021,0,0,1917.1,1629.42,1940.3,1752.5828571428572,1771.7613333333334,154.90112875791496,0,0,0,28
2021-07-17,1582.55,5,198,7,3,2021,1,0,1726.86,1490.33,2104.2,1765.7571428571428,1754.3729999999998,130.94899575970848,0,0,0,28
2021-07-18,1568.19,6,199,7,3,2021,1,0,1582.55,1686.34,1785.47,1748.8785714285714,1747.1303333333335,149.22987138735218,0,0,0,28
2021-07-19,1687.9,0,200,7,3,2021,0,0,1568.19,1890.48,1411.74,1719.9385714285713,1756.3356666666666,136.27306134236142,0,0,0,29
2021-07-20,1912.81,1,201,7,3,2021,0,0,1687.9,1671.91,1393.8,1754.3528571428574,1773.636,151.67087522156703,0,0,0,29
2021-07-21,1942.97,2,202,7,3,2021,0,0,1912.81,1885.06,1707.2,1762.6257142857141,1781.495,161.26443840859045,0,0,0,29
2021-07-22,2020.94,3,203,7,3,2021,0,0,1942.97,1917.1,1820.26,1777.4600000000003,1788.1843333333336,181.3656011118609,0,0,0,29
2021-07-23,2016.09,4,204,7,3,2021,0,0,2020.94,1726.86,1885.17,1818.7785714285715,1792.5483333333332,199.91424581793157,0,0,0,29
2021-07-24,1350.83,5,205,7,3,2021,1,0,2016.09,1582.55,1877.58,1785.6757142857145,1774.9900000000002,256.67604990578707,0,0,0,29
2021-07-25,1416.19,6,206,7,3,2021,1,0,1350.83,1568.19,1962.15,1763.9614285714285,1756.7913333333333,283.20035701652233,0,0,0,29
2021-07-26,1933.42,0,207,7,3,2021,0,0,1416.19,1687.9,1541.92,1799.0357142857142,1769.8413333333335,287.38304321683876,0,0,0,30
2021-07-27,1932.45,1,208,7,3,2021,0,0,1933.42,1912.81,1759.82,1801.8414285714284,1775.5956666666666,288.7714668746765,0,0,0,30
2021-07-28,1931.77,2,209,7,3,2021,0,0,1932.45,1942.97,1803.82,1800.2414285714287,1779.8606666666667,287.88886758774186,0,0,0,30
2021-07-29,2431.48,3,210,7,3,2021,0,0,1931.77,2020.94,2253.18,1858.8899999999999,1785.8039999999999,370.3504400339406,0,0,0,30
2021-07-30,1938.18,4,211,7,3,2021,0,0,2431.48,2016.09,1940.55,1847.76,1785.725,365.9837465425663,0,0,0,30
2021-07-31,1721.78,5,212,7,3,2021,1,0,1938.18,1350.83,1719.59,1900.7528571428572,1785.7979999999998,303.57274019660633,0,1,0,30
2021-08-01,1693.37,6,213,8,3,2021,1,0,1721.78,1416.19,1688.9,1940.3500000000001,1785.9470000000001,241.5813880800149,1,0,0,30
2021-08-02,1946.72,0,214,8,3,2021,0,0,1693.37,1933.42,1623.18,1942.25,1796.7316666666668,241.57010176482265,0,0,0,31
2021-08-03,1800.39,1,215,8,3,2021,0,0,1946.72,1932.45,1518.49,1923.3842857142859,1806.1283333333333,247.54578626031628,0,0,0,31
2021-08-04,1960.12,2,216,8,3,2021,0,0,1800.39,1931.77,1960.21,1927.4342857142856,1806.1253333333332,247.93744936019283,0,0,0,31
